record_id,redcap_survey_identifier,participant_information_sheet_informed_consent_timestamp,prolific_id,prolific_study_id,prolific_session_id,consent_01___1,consent_02___1,participant_information_sheet_informed_consent_complete,your_demographic_information_timestamp,demographics_age,demographics_sex,demographics_gender,demographics_gender_text,demographics_language,demographics_tz,demographics_occupation,attentioncheck_01,your_demographic_information_complete,template_timestamp,design_appearance,design_wearlikelihoodrating_public,design_wearlikelihoodrating_home,design_wearlikelihoodrating_work,design_wearlikelihoodrating_social,design_wearlikelihoodrating_exercise,design_wearduration,design_restrict,design_difficulty,design_check,template_complete,wrist_timestamp,design_appearance_wrist,design_wearlikelihoodrating_public_wrist,design_wearlikelihoodrating_home_wrist,design_wearlikelihoodrating_work_wrist,design_wearlikelihoodrating_social_wrist,design_wearlikelihoodrating_exercise_wrist,design_wearduration_wrist,design_restrict_wrist,design_difficulty_wrist,design_check_wrist,wrist_complete,collar_pin_timestamp,design_appearance_collarpin,design_wearlikelihoodrating_public_collarpin,design_wearlikelihoodrating_home_collarpin,design_wearlikelihoodrating_work_collarpin,attentioncheck_02,design_wearlikelihoodrating_social_collarpin,design_wearlikelihoodrating_exercise_collarpin,design_wearduration_collarpin,design_restrict_collarpin,design_difficulty_collarpin,design_check_collarpin,collar_pin_complete,glasses_timestamp,design_appearance_glasses,design_wearlikelihoodrating_public_glasses,design_wearlikelihoodrating_home_glasses,design_wearlikelihoodrating_work_glasses,design_wearlikelihoodrating_social_glasses,design_wearlikelihoodrating_exercise_glasses,design_wearduration_glasses,design_restrict_glasses,design_difficulty_glasses,design_check_glasses,glasses_complete,hat_pin_timestamp,design_appearance_glasses_hatpin,design_wearlikelihoodrating_public_glasses_hatpin,attentioncheck_03,design_wearlikelihoodrating_home_glasses_hatpin,design_wearlikelihoodrating_work_glasses_hatpin,design_wearlikelihoodrating_social_glasses_hatpin,design_wearlikelihoodrating_exercise_glasses_hatpin,design_wearduration_glasses_hatpin,design_restrict_glasses_hatpin,design_difficulty_glasses_hatpin,design_check_glasses_hatpin,hat_pin_complete,neck_loop_timestamp,design_appearance_neckloop,design_wearlikelihoodrating_public_neckloop,design_wearlikelihoodrating_home_neckloop,design_wearlikelihoodrating_work_neckloop,design_wearlikelihoodrating_social_neckloop,design_wearlikelihoodrating_exercise_neckloop,design_wearduration_neckloop,design_restrict_neckloop,design_difficulty_neckloop,design_check_neckloop,neck_loop_complete,chest_pin_timestamp,design_appearance_chestpin,design_wearlikelihoodrating_public_chestpin,design_wearlikelihoodrating_home_chestpin,design_wearlikelihoodrating_work_chestpin,design_wearlikelihoodrating_social_chestpin,design_wearlikelihoodrating_exercise_chestpin,design_wearduration_chestpin,design_restrict_chestpin,design_difficulty_chestpin,design_check_chestpin,chest_pin_complete,necklace_timestamp,design_appearance_necklace,design_wearlikelihoodrating_public_necklace,design_wearlikelihoodrating_home_necklace,design_wearlikelihoodrating_work_necklace,design_wearlikelihoodrating_social_necklace,design_wearlikelihoodrating_exercise_necklace,design_wearduration_necklace,design_restrict_necklace,design_difficulty_necklace,design_check_necklace,necklace_complete,sleeve_collar_timestamp,design_appearance_sleevecollar,design_wearlikelihoodrating_public_sleevecollar,design_wearlikelihoodrating_home_sleevecollar,design_wearlikelihoodrating_work_sleevecollar,design_wearlikelihoodrating_social_sleevecollar,design_wearlikelihoodrating_exercise_sleevecollar,design_wearduration_sleevecollar,design_restrict_sleevecollar,design_difficulty_sleevecollar,design_check_sleevecollar,sleeve_collar_complete,other_designs_timestamp,design_openended,design_feedback,other_designs_complete,completion_screen_timestamp,completion_screen_complete
1,,09.01.24 21:18,,,,1,1,2,09.01.24 21:19,36,2,1,,1,402,3,9,2,,,,,,,,,,,,0,09.01.24 21:22,3,3,4,5,2,3,7,2,I work for a moving company and my main hobby is rock climbing. I used to wear an apple watch that I destroyed pretty quickly wearing it while performing these activities. ,The light logger appears to take the place of a wristwatch ,2,09.01.24 21:23,2,2,4,3,19,4,4,7,3,Could make moving furniture (my job) difficult. Also it just looks like a bad/conspicuous spot so wearing it socially wouldn't be ideal,The logger is clipped to the neck of a shirt. Seems uncomfortable,2,09.01.24 21:25,4,4,4,1,4,1,7,3,"I generally wouldn't wear my glasses to work or to working out, so by having these as a glasses accessory I wouldn't wear them much","a clip attached to glasses, could be clunky",2,09.01.24 21:27,5,4,4,4,5,4,3,7,1,I generally wouldn't wear a beanie cap around the house but aside from that this seems to be the best option yet,The logger is pinned to a beanie on the head. Might make more sense for catching light as well as being non-invasive,2,09.01.24 21:28,1,1,2,1,1,1,1,4,"I'm not sure what I'm looking at, is that an apparatus that wraps around the neck, akin to a neck pillow? I would never wear that",A band around the neck. Ugly,2,09.01.24 21:29,4,4,4,5,4,4,7,1,Doesn't appear as though it would interfere in activities,Appears to be a patch on the shirt,2,09.01.24 21:30,4,4,4,4,4,4,7,3,"If this is a necklace and it must be worn so that the charm (logger) is on the outside of the shirt, it could hinder some more physical activities eg rock climbing/ manual labor",the logger appears as a pendant on a necklace,2,09.01.24 21:31,1,1,1,1,1,1,1,6,"an arm band? It would likely restrict any activity that involves using an arm, which is a lot of them",A weird arm band that I would never wear,2,09.01.24 21:33,"Imagining that the logger is similar to a small solar panel, I cannot think of any other designs for this item",That arm band and that neck band are silly in my opinion ,2,09.01.24 21:33,2
2,,09.01.24 21:25,,,,1,1,2,09.01.24 21:27,37,2,1,,1,402,4,9,2,,,,,,,,,,,,0,09.01.24 21:30,4,5,6,5,6,4,7,2,showering/bathing or in rainy weather ( i would be worried about it getting wet)  maybe while typing or using a computer depending how heavy it is and if you get easily irritated by texture/weight on your wrist,wrist wearable like a watch,2,09.01.24 21:31,4,5,5,5,19,5,5,7,1,maybe during intense exercise? i worry about it falling off,clipped on shirt collar or neckline,2,09.01.24 21:32,2,3,3,3,3,3,1,5,most would be annoying because if you do not already wear glasses it forces you to and if you already wear glasses it adds extra weight,on glasses near side of head,2,09.01.24 21:33,2,4,4,4,3,4,2,3,4,any work setting or anywhere it would be uncomfortable / unfit to wear a beanie,rim of beanie on top of head,2,09.01.24 21:34,2,3,3,3,3,3,1,6,most this would be irritating to have some weight / thing hang around your neck,around neck / over shoulders,2,09.01.24 21:36,4,5,5,5,5,5,7,1,maybe during intense exercise if it can fall off easily,chest on shirt,2,09.01.24 21:37,3,3,3,3,3,3,1,5,"depending how heavy, this would be annoying in most situations because there is something rubbing against your neck",on necklace at collar,2,09.01.24 21:38,4,4,4,3,4,4,4,3,places you have to wear a long sleeved shirt or jacket to / outside in winter or rain or at workplaces,around upper arm / bicep area,2,09.01.24 21:39,maybe a ring because a lot of people already wear rings and if it can be integrated easily it wont be noticeable or add any extra bulk/weight,no,2,,0
3,,09.01.24 21:28,,,,1,1,2,09.01.24 21:28,26,1,1,,1,402,1,9,2,,,,,,,,,,,,0,09.01.24 21:29,7,7,7,7,7,7,4,2,Cooking,Around the wrist like a watch.,2,09.01.24 21:30,4,4,7,4,19,4,4,3,2,Bending over,Attached to the collar of a shirt,2,09.01.24 21:31,3,3,4,3,1,1,3,4,Anything with a lot of movement.,Worn like glasses.,2,09.01.24 21:33,3,3,4,4,3,1,4,3,1,"Might mess up hair, hot",Around the head like a beanie.,2,09.01.24 21:34,4,4,5,3,3,3,3,3,Anything with a lot of movement.,Over the shoulders like a scarf,2,09.01.24 21:35,5,4,5,4,4,5,5,1,I don't think it would be difficult to wear this light logger. Maybe a jacket could get caught?,"Left side of the chest, like a shirt pocket.",2,09.01.24 21:36,4,4,5,5,3,2,4,3,"Anything with movement, excercising, running, etc.",Around the neck like a necklace.,2,09.01.24 21:37,7,7,5,4,4,7,4,1,I don't think this would be difficult to wear.,Around the bicep.,2,09.01.24 21:39,"I can envision it as a type of ring as well. It would be practical and hidden. It might be a hinder to wear in some situtions though, like cooking, washing hands, etc.",Interesting survey!,2,09.01.24 21:40,2
4,,09.01.24 21:30,,,,1,1,2,09.01.24 21:32,50,1,1,,0,399,3,9,2,,,,,,,,,,,,0,09.01.24 21:35,4,7,7,7,5,7,6,2,"When you go to see a movie or somewhere dark.  Or, going to poo/jacuzzies/Sauna",putting on my wrist,2,09.01.24 21:37,3,3,7,2,19,1,2,3,2,"when I go swimming, it is hard to wear this kind of device.",clip on my clothes ,2,09.01.24 21:38,1,1,1,1,1,1,1,7,I do not to wear glasses to use this kind of device. ,Putting on my glasses/sunglasses ,2,09.01.24 21:40,1,1,4,1,1,1,1,1,7,"I do not want to wear to use this devices, especially indoor or when it's warm weather. ",putting on a hat,2,09.01.24 21:41,1,1,1,1,1,1,1,7,too big for any of the activities. ,"hanging around my neck, like scaf ",2,09.01.24 21:42,4,4,6,2,3,5,4,4,"At work, some might think it is a hidden camera or recording devices. It looks suspicious. ",clipping on my clothes.,2,09.01.24 21:44,3,3,6,1,2,2,3,5,It could move a lot during excising. ,"hanging around my neck, like necklace. ",2,09.01.24 21:45,3,3,4,1,1,4,3,3,"Putting directly on my skin may cause skin irritation, especially during excising. ",Wrapping around my arm.,2,09.01.24 21:49,It could be nice to make it small enough to use as earing or ring so it does not bother too much.  ,"At first, I thought this light logging for light therapy or something.   For environment purpose, I am very interested in this study's outcome. ",2,,0
5,,09.01.24 21:31,,,,1,1,2,09.01.24 21:32,56,2,1,,1,385,7,9,2,,,,,,,,,,,,0,09.01.24 21:36,5,7,5,7,6,7,6,1,Taking a shower,On the left wrist,2,09.01.24 21:37,1,1,1,1,19,1,2,1,2,Showering,Don't like this one,2,09.01.24 21:38,1,1,1,1,1,1,1,3,In the Shower,I wouldn't wear these glasses,2,09.01.24 21:40,2,2,4,1,1,1,3,3,1,In the shower or if going somewhere formal. ,I wouldn't put this on any of my hats.,2,09.01.24 21:42,5,6,7,5,5,1,4,3,Showering and exercise if it fits loose.,This looks like some blue tooth earphone devices around the neck. So it could make sense.,2,09.01.24 21:44,4,5,6,4,3,6,5,1,Showering,On the shirt may be ok if somewhat discreet.,2,09.01.24 21:46,5,5,7,5,4,1,4,3,Showering and also it is loose so may get caught on thinks.,It is to loose around the neck. Prefer the watch type band.,2,09.01.24 21:47,1,1,3,1,1,3,2,2,Exercise when lifting weights and showering.,Not a fan of on the arm. ,2,09.01.24 21:48,Maybe a ear piece design. ,"I would go with the watch band, it blends like a Fitbit type.",2,09.01.24 21:49,2
6,,09.01.24 21:31,,,,1,1,2,09.01.24 21:32,36,1,1,,1,390,3,9,2,,,,,,,,,,,,0,09.01.24 21:34,3,5,7,7,5,7,6,2,When I'm running or when I'm in a social setting that requires me to be more dressed up and it might look funny to others.,On the wrist.,2,09.01.24 21:35,3,3,7,1,19,4,5,5,2,"If I'm running - I'm not sure how it is being held on. If I'm in a fancy situation, people would notice it on my attire.",Neckline of a top/shirt.,2,09.01.24 21:36,1,1,3,1,1,1,1,6,"I think this would be difficult to wear when working out, laying around, in a social setting that would have a lot of attention drawn to my face (conversations).","On your face, like a pair of glasses.",2,09.01.24 21:38,2,1,4,1,1,1,1,1,7,"Not sure if this is just on a hat or the device is on the hat and you would be required to wear that specific hat, but as someone who doesn't wear hats, I would find the hat wearing to be the most difficult. Working out, social settings - it would be difficult all around.","On a hat, on your head.",2,09.01.24 21:39,2,2,5,1,1,2,4,3,Doing exercises. Doing anything that would require you to constantly bend at the hips and give this the potential to fall off or move around.,Around your neck.,2,09.01.24 21:40,7,5,7,3,5,7,6,1,"I don't think this would make anything difficult, but this isn't something I would wear to a formal event, as that would make the attire a little awkward.",On your chest area of your shirt/top.,2,09.01.24 21:41,3,3,5,1,3,1,4,6,Anything that would make it bounce around of swing around. Exercise or anything that would require me to lean down and pick something up (type of movement).,Around your neck.,2,09.01.24 21:43,3,3,7,3,3,6,5,2,"If I needed to put on long sleeve attire. I would worry about wearing it when working out and it not staying in place, but if it does, no issues there.",Around your arm.,2,09.01.24 21:44,"Something smaller that can be clipped on anywhere. I'm thinking something like the chest thing, but more around the size of a sleeve clasp. Earring, small bobby pin in the hair. Make it fashionable too so it can look good to wear it during a formal event - I think that was my biggest draw back from some of these.",No.,2,09.01.24 21:45,2
7,,09.01.24 21:32,,,,1,1,2,09.01.24 21:33,21,1,1,,1,407,1,9,2,,,,,,,,,,,,0,09.01.24 21:36,5,5,3,4,5,6,4,1,In situations where I would need to move my arms around a lot. ,Above the hand and on the lower arm.,2,09.01.24 21:41,3,3,4,2,19,2,5,2,4,The logger would be difficult when moving around as I think it would be uncomfortable.,The logger Is on the collar of a shirt.,2,09.01.24 21:43,2,3,4,2,2,1,2,5,It may be difficult to deal with for someone who doesn't regularly wear glasses.,around the eyes.,2,09.01.24 21:44,3,3,4,5,4,3,5,3,2,I think it may be difficult to wear this during rigorous exercise because It might fall off.,a clip attached to something you wear on your head,2,09.01.24 21:45,1,2,4,2,2,1,1,5,Wearing this might be difficult during daily activities as I believe it can restrict your range of motion. ,laid upon shoulders,2,09.01.24 21:47,4,5,6,5,5,6,7,1,I do not think it would be difficult as long as It is securely fashioned. ,right chest area,2,09.01.24 21:49,3,3,5,2,3,4,3,2,during extensive exercise when jumping.,around the neck and hangs down,2,09.01.24 21:50,4,3,5,3,3,4,3,2,If the logger was too tight or too loose it might be difficult to deal with.,around the arm.,2,09.01.24 21:51,"Something less bulky and more wearable would be better, or maybe an anklet. ",n/a,2,,0
8,,09.01.24 21:32,,,,1,1,2,09.01.24 21:33,31,1,1,,0,385,3,9,2,,,,,,,,,,,,0,09.01.24 21:35,4,3,5,2,3,4,7,2,doing dishes or anything to do with water,wrist,2,09.01.24 21:37,3,2,4,3,19,2,4,2,1,i don't think it's difficult but rather uncomfortable for the neck,collar ,2,09.01.24 21:38,1,1,1,1,1,1,1,7,"Obstructs peripheral vision while driving, meetings or moving around the house",on glasses,2,09.01.24 21:42,4,3,4,5,1,1,5,3,3,hot climate,beanie or hat,2,09.01.24 21:45,4,3,4,2,3,5,3,2,Might be generally uncomfortable around the collar,neck,2,09.01.24 21:46,5,6,6,6,6,6,7,1,This wont affect any of my activities,chest,2,09.01.24 21:48,4,4,4,4,4,4,4,2,working out,neck,2,09.01.24 21:49,2,1,1,1,1,1,1,5,"moving around, wearing coats, workout",arm,2,09.01.24 21:51,"hair clip, ring",interesting designs,2,15.01.24 15:41,2
9,,09.01.24 21:34,,,,1,1,2,09.01.24 21:40,72,2,1,,1,387,3,9,2,,,,,,,,,,,,0,09.01.24 21:47,5,3,4,3,4,2,2,1,in a public setting it might cause distraction,placed in a way it looks like a camera but not a camera,2,09.01.24 21:54,6,4,3,5,19,3,4,2,1,when not wearing a fully covered cloth,its placed close to the collar of ones cloth,2,09.01.24 21:57,3,4,2,5,4,3,2,5,when one does not need to cover the eyes,its worn as a spectacle ,2,09.01.24 22:01,3,3,4,3,4,5,4,2,4,"in the absence of hat, it can not be placed elsewhere",it is clipped to the hat,2,09.01.24 22:04,3,3,3,4,4,2,1,2,it may feel heavy on the neck,it is worn as a neck gear,2,09.01.24 22:07,5,5,3,5,4,2,3,1,when one does not need an extra piece of anything on their cloth,it is placed on the chest,2,09.01.24 22:09,4,2,3,3,4,4,3,4,some persons do not wear neck accessories . it may feel as one,it is worn as a necklace,2,09.01.24 22:11,3,2,2,4,2,1,2,1,when one does not want discomfort on the arm,it is placed as a sleeve band,2,09.01.24 22:13,it can be placed behind the ear . with that it will not cause distractions,no. study was okay,2,09.01.24 22:14,2
10,,09.01.24 21:34,,,,1,1,2,09.01.24 21:41,72,1,1,,1,387,3,9,2,,,,,,,,,,,,0,09.01.24 21:50,5,2,3,5,4,4,1,1,might be difficult to wear when in a hurry,placed in such a way it can be visible,2,09.01.24 21:57,3,3,4,3,19,3,3,2,3,it may fall off when one bends,it is placed on the neck line of the cloth,2,09.01.24 22:00,6,4,3,2,5,5,2,3,one ones has a vision defect the lenses might be bad,it is worn as an eyeglass,2,09.01.24 22:02,6,6,4,4,5,4,3,3,1,it might add to the weight of the hat,it is attached to the hat,2,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,0,,0
